card1,card2,archetype,weight
Floodpits Drowner,"Kaito, Bane of Nightmares",Faeries,0.7075490922956882
"Kaito, Bane of Nightmares",Swamp,Dimir Midrange,0.9207753856609896
"Kaito, Bane of Nightmares",Swamp,Faeries,0.7075490922956882
"Kaito, Bane of Nightmares",Swamp,Self-Bounce,0.6184412856553676
Soulstone Sanctuary,Underground River,Faeries,1
Soulstone Sanctuary,Underground River,Dimir Midrange,0.8520771326799448
Soulstone Sanctuary,Underground River,Self-Bounce,0.7583614733403556
Soulstone Sanctuary,Spyglass Siren,Faeries,1
Soulstone Sanctuary,Spyglass Siren,Dimir Midrange,0.8499003714441982
Soulstone Sanctuary,Spyglass Siren,Azorius Control,0.7771829163039172
Soulstone Sanctuary,Spyglass Siren,Self-Bounce,0.7592694006158583
Soulstone Sanctuary,Spyglass Siren,Convoke,0.6489085923934222
Faerie Mastermind,Soulstone Sanctuary,Faeries,1
Faerie Mastermind,Soulstone Sanctuary,Dimir Midrange,0.7982795763498095
Faerie Mastermind,Soulstone Sanctuary,Azorius Control,0.5543658066825486
Faerie Mastermind,Soulstone Sanctuary,Convoke,0.42319889706569536
Cut Down,Soulstone Sanctuary,Mono-Black Midrange,0.8946090942096012
Cut Down,Soulstone Sanctuary,Dimir Midrange,0.7944501092260423
Cut Down,Soulstone Sanctuary,Faeries,0.7770607207730813
Cut Down,Soulstone Sanctuary,Golgari Midrange,0.667837382034493
Cut Down,Soulstone Sanctuary,Self-Bounce,0.5075743449334508
Island,Soulstone Sanctuary,Faeries,1
Island,Soulstone Sanctuary,Merfolk,0.9385327529822441
Island,Soulstone Sanctuary,Azorius Control,0.8711286190048061
Island,Soulstone Sanctuary,Dimir Midrange,0.8446005816805441
Island,Soulstone Sanctuary,Self-Bounce,0.7593167572639631
Island,Soulstone Sanctuary,Convoke,0.6577001052722596
Darkslick Shores,Soulstone Sanctuary,Faeries,1
Darkslick Shores,Soulstone Sanctuary,Dimir Midrange,0.8528684287350725
Darkslick Shores,Soulstone Sanctuary,Self-Bounce,0.7583614733403556
Restless Reef,Soulstone Sanctuary,Faeries,0.776700617285028
Restless Reef,Soulstone Sanctuary,Dimir Midrange,0.659313493731679
Restless Reef,Soulstone Sanctuary,Self-Bounce,0.5473725455686369
Sheoldred's Edict,Soulstone Sanctuary,Mono-Black Midrange,0.7074605477917372
Sheoldred's Edict,Soulstone Sanctuary,Faeries,0.6460160066870647
Sheoldred's Edict,Soulstone Sanctuary,Golgari Midrange,0.5448290928391092
Sheoldred's Edict,Soulstone Sanctuary,Dimir Midrange,0.5405941917323023
Sheoldred's Edict,Soulstone Sanctuary,Self-Bounce,0.42319889706569536
Gloomlake Verge,Soulstone Sanctuary,Faeries,1
Gloomlake Verge,Soulstone Sanctuary,Dimir Midrange,0.8528684287350725
Gloomlake Verge,Soulstone Sanctuary,Self-Bounce,0.7583614733403556
Enduring Curiosity,Soulstone Sanctuary,Faeries,1
Enduring Curiosity,Soulstone Sanctuary,Dimir Midrange,0.803048496922046
Enduring Curiosity,Soulstone Sanctuary,Azorius Control,0.7771829163039172
Enduring Curiosity,Soulstone Sanctuary,Self-Bounce,0.6307347716720124
Enduring Curiosity,Soulstone Sanctuary,Convoke,0.5486189940646687
Mockingbird,Soulstone Sanctuary,Faeries,0.8176000093904802
Mockingbird,Soulstone Sanctuary,Merfolk,0.7771829163039172
Mockingbird,Soulstone Sanctuary,Azorius Control,0.7771829163039172
Mockingbird,Soulstone Sanctuary,Convoke,0.6489085923934222
Mockingbird,Soulstone Sanctuary,Dimir Midrange,0.5142653403436305
Mockingbird,Soulstone Sanctuary,Self-Bounce,0.41527689812492347
Floodpits Drowner,Soulstone Sanctuary,Faeries,1
Floodpits Drowner,Soulstone Sanctuary,Dimir Midrange,0.8428432390880877
Floodpits Drowner,Soulstone Sanctuary,Merfolk,0.7771829163039172
Floodpits Drowner,Soulstone Sanctuary,Self-Bounce,0.7463616352814806
Floodpits Drowner,Soulstone Sanctuary,Convoke,0.6137659291784298
Floodpits Drowner,Soulstone Sanctuary,Azorius Control,0.42319889706569536
Soulstone Sanctuary,Swamp,Faeries,1
Soulstone Sanctuary,Swamp,Golgari Midrange,0.8755486965175642
Soulstone Sanctuary,Swamp,Dimir Midrange,0.840773611013093
Soulstone Sanctuary,Swamp,Mono-Black Midrange,0.8303849562999126
Soulstone Sanctuary,Swamp,Self-Bounce,0.7777575338661312
Spyglass Siren,Underground River,Faeries,1
Spyglass Siren,Underground River,Dimir Midrange,0.9974066658667861
Spyglass Siren,Underground River,Self-Bounce,0.9904341435474526
Faerie Mastermind,Underground River,Demons,1
Faerie Mastermind,Underground River,Faeries,1
Faerie Mastermind,Underground River,Dimir Midrange,0.946773496401791
Cut Down,Underground River,Dimir Tempo,1
Cut Down,Underground River,Draws,1
Cut Down,Underground River,Sultai Control,1
Cut Down,Underground River,Dimir Midrange,0.9396024550558428
Cut Down,Underground River,Dimir Control,0.8947808320300904
Cut Down,Underground River,Faeries,0.7770607207730813
Cut Down,Underground River,Self-Bounce,0.7285306335057652
Cut Down,Underground River,Demons,0.6460160066870647
Cut Down,Underground River,Sultai Midrange,0.619048734863934
Island,Underground River,Faeries,1
Island,Underground River,Artifacts,0.9975523217520779
Island,Underground River,Dimir Midrange,0.9939879161017456
Island,Underground River,Dimir Control,0.8947808320300904
Island,Underground River,Self-Bounce,0.8257661150721614
Island,Underground River,Dimir Tempo,0.7771829163039172
Island,Underground River,Draws,0.7771829163039172
Island,Underground River,Esper Control,0.42319889706569536
Island,Underground River,Sultai Midrange,0.37513862142171167
Darkslick Shores,Underground River,Faeries,1
Darkslick Shores,Underground River,Dimir Tempo,1
Darkslick Shores,Underground River,Draws,1
Darkslick Shores,Underground River,Artifacts,1
Darkslick Shores,Underground River,Dimir Midrange,0.9992372522017643
Darkslick Shores,Underground River,Dimir Control,0.9592909777138916
Darkslick Shores,Underground River,Self-Bounce,0.9183224235907529
Darkslick Shores,Underground River,Demons,0.8947808320300904
Darkslick Shores,Underground River,Sultai Control,0.8947808320300904
