card1,card2,archetype,weight
Force of Will,Misty Rainforest,Sneak and Show,0.7266162653896022
Force of Will,Misty Rainforest,Doomsday,0.7237459736867533
Force of Will,Misty Rainforest,High Tide,0.6878910838560376
Force of Will,Misty Rainforest,Dimir Tempo,0.6838477061101766
Force of Will,Misty Rainforest,Reanimator,0.6827561073184515
Force of Will,Misty Rainforest,Stiflenought,0.6742898636675304
Force of Will,Misty Rainforest,Coveted Jewel Combo,0.6460160066870647
Force of Will,Misty Rainforest,Worldgorger Dragon Combo,0.6460160066870647
Force of Will,Misty Rainforest,Death's Shadow,0.6460160066870647
Force of Will,Swamp,Ninjas,0.8777880187515972
Force of Will,Swamp,Grixis Control,0.7771829163039172
Force of Will,Swamp,Dimir Tempo,0.6460160066870647
Force of Will,Swamp,Delver,0.6460160066870647
Force of Will,Swamp,Doomsday,0.6460160066870647
Force of Will,Swamp,Worldgorger Dragon Combo,0.6460160066870647
Force of Will,Swamp,Beanstalk Control (Non-Yorion),0.6460160066870647
Force of Will,Swamp,Omni-Tell,0.6460160066870647
Force of Will,Swamp,Esper Control,0.6460160066870647
Force of Will,Swamp,Esper Tempo,0.6460160066870647
Force of Will,Swamp,Stoneblade,0.6460160066870647
Force of Will,Swamp,Reanimator,0.645942100937058
Force of Will,Swamp,Vial,0.6403105064892143
Force of Will,Troll of Khazad-dûm,Esper Tempo,1
Force of Will,Troll of Khazad-dûm,Delver,1
Force of Will,Troll of Khazad-dûm,Reanimator,0.9959298151684104
Force of Will,Troll of Khazad-dûm,Dimir Tempo,0.8947808320300904
Force of Will,Troll of Khazad-dûm,Beanstalk Control (Non-Yorion),0.8947808320300904
Force of Will,Troll of Khazad-dûm,Worldgorger Dragon Combo,0.7771829163039172
Reanimate,Wasteland,Delver,1
Reanimate,Wasteland,Helm/Leyline Stompy,0.9832126248114461
Reanimate,Wasteland,Reanimator,0.9064917612716598
Reanimate,Wasteland,Beanstalk Control (Non-Yorion),0.8947808320300904
Reanimate,Wasteland,Esper Tempo,0.7895616446162155
Reanimate,Wasteland,Dimir Tempo,0.7076384222352329
Reanimate,Wasteland,Grixis Tempo,0.6460160066870647
Undercity Sewers,Wasteland,Dimir Tempo,0.6463450362385775
Undercity Sewers,Wasteland,Delver,0.6460160066870647
Undercity Sewers,Wasteland,Grixis Tempo,0.6460160066870647
Undercity Sewers,Wasteland,Esper Control,0.6460160066870647
Undercity Sewers,Wasteland,Stoneblade,0.6460160066870647
Undercity Sewers,Wasteland,Esper Tempo,0.6078989042828306
Undercity Sewers,Wasteland,Reanimator,0.5998753566473338
Undercity Sewers,Wasteland,Beanstalk Control (Non-Yorion),0.5407968160325296
